_date,time,preclose,high,low,match,open,volume,turnover,matchitems,,
1992/11/2,1992/11/2,507.25,508.81,455.73,457.05,471.18,54961400,400100000,0,,
1992/11/9,1992/11/9,457.05,459.04,388.32,414.09,439.81,84198400,398700000,0,,
1992/11/16,1992/11/16,414.09,415.64,386.85,401.44,402.02,103463200,326400000,0,,
1992/11/23,1992/11/23,401.44,752.32,401.82,637.67,404.05,125154500,1236100000,0,,
1992/11/30,1992/11/30,637.67,841.02,637.67,807.02,682.08,200809100,1840400000,0,,
1992/12/7,1992/12/7,807.02,811.57,592.78,722.28,765.87,183902900,1908700000,0,,
1992/12/14,1992/12/14,722.28,748.19,663.17,698.13,741.06,80213300,825500000,0,,
1992/12/21,1992/12/21,698.13,781.36,697.7,764.28,709.87,101820300,1366600000,0,,
1992/12/28,1992/12/28,764.28,784.03,754.54,780.39,764.43,59875000,740100000,0,,
1993/1/4,1993/1/4,780.39,893.86,777.16,889.47,784.13,151418700,2312100000,0,,
1993/1/11,1993/1/11,889.47,1099.83,901.47,1063.76,913.44,242462300,4195500000,0,,
1993/1/18,1993/1/18,1063.76,1109.59,984.74,1100.31,1067.98,136836800,2576100000,0,,
1993/1/27,1993/1/27,1100.31,1198.48,1113.57,1198.48,1126.37,127972500,2442500000,0,,
1993/2/1,1993/2/1,1198.48,1404.64,1222.18,1332.96,1242.35,293263100,6027200000,0,,
1993/2/8,1993/2/8,1332.96,1528.51,1334.19,1458.76,1339.59,302303300,7261500000,0,,
1993/2/15,1993/2/15,1458.76,1558.95,1441.07,1499.74,1544.1,257669000,6252600000,0,,
1993/2/22,1993/2/22,1499.74,1527.13,1196.47,1339.88,1487.84,295757900,6454900000,0,,
1993/3/1,1993/3/1,1339.88,1339.1,1026.18,1109.54,1328.22,180342100,3577800000,0,,
1993/3/8,1993/3/8,1109.54,1325.49,1089.36,1236.37,1133.52,233317000,5446800000,0,,
1993/3/15,1993/3/15,1236.37,1241.04,1155.1,1174.99,1226.66,105581600,2000200000,0,,
1993/3/22,1993/3/22,1174.99,1179.05,913.74,1039.76,1148.29,156872000,2579200000,0,,
1993/3/29,1993/3/29,1039.76,1047.88,915.59,944.01,1008.4,97378000,1469100000,0,,
1993/4/5,1993/4/5,944.01,1340.91,924.49,1243.02,945.58,350461500,6701900000,0,,
1993/4/12,1993/4/12,1243.02,1341.19,1195.57,1214.75,1254.62,333006400,7483300000,0,,
1993/4/19,1993/4/19,1214.75,1295.76,1185.76,1260.25,1203.85,208531700,4245300000,0,,
1993/4/26,1993/4/26,1260.25,1392.62,1282.54,1358.78,1298.92,311518800,7201700000,0,,
1993/5/3,1993/5/3,1358.78,1380.5,1151.49,1199.81,1365.15,256150300,5664000000,0,,
1993/5/10,1993/5/10,1199.81,1221.98,1107.66,1167.47,1216.72,132079800,2563700000,0,,
1993/5/17,1993/5/17,1167.47,1178.54,1097.61,1143.97,1162.07,86683400,1522100000,0,,
1993/5/24,1993/5/24,1143.97,1143.97,942.21,972.77,1136.29,125091200,2044600000,0,,
1993/5/31,1993/5/31,972.77,1177.91,859.48,1004.3,975.05,312056000,5306500000,0,,
1993/6/7,1993/6/7,1004.3,1101.69,982.03,1047,1006.26,246575800,4474200000,0,,
1993/6/14,1993/6/14,1047,1046.07,981.84,1005.98,1046.07,100588000,1919000000,0,,
1993/6/21,1993/6/21,1005.98,1041.22,967.74,1006.64,1003.98,60716000,1031500000,0,,
1993/6/28,1993/6/28,1006.64,1043.05,980.05,986.98,1006.63,231656400,4081000000,0,,
1993/7/5,1993/7/5,986.98,980.92,865.31,868.57,976.67,112182900,1634800000,0,,
1993/7/12,1993/7/12,868.57,870.05,828.55,846.87,855.5,137856300,1875800000,0,,
1993/7/19,1993/7/19,846.87,849.04,803.22,813.54,846.87,69731300,967200000,0,,
1993/7/26,1993/7/26,813.54,901.12,777.73,881.07,810.07,223973800,2587200000,0,,
1993/8/2,1993/8/2,881.07,913.15,823,855.52,885.31,264395100,3409900000,0,,
1993/8/9,1993/8/9,855.52,947.26,861.19,947.26,866.65,466680400,6119900000,0,,
1993/8/16,1993/8/16,947.26,1042.47,937.99,946.54,969.9,425090900,6080700000,0,,
1993/8/23,1993/8/23,946.54,937.3,873.13,894.59,933.72,157494200,2088800000,0,,
1993/8/30,1993/8/30,894.59,926.11,884.51,922.69,901.09,106125100,1211900000,0,,
1993/9/6,1993/9/6,922.69,947.53,887.65,903.56,940.46,149296600,1932700000,0,,
1993/9/13,1993/9/13,903.56,903.24,865.61,881.41,895.62,79108500,897200000,0,,
1993/9/20,1993/9/20,881.41,915.06,864.38,875.81,875.97,121680700,1381600000,0,,
1993/9/27,1993/9/27,875.81,909.84,876.39,890.27,876.61,178267500,1952100000,0,,
1993/10/4,1993/10/4,890.27,934.4,874.28,874.76,895.69,392623200,7283100000,0,,
1993/10/11,1993/10/11,874.76,879.68,848.53,856.92,872.95,235360400,3577200000,0,,
1993/10/18,1993/10/18,856.92,852.82,818.81,818.81,852.82,347587700,4995100000,0,,
1993/10/25,1993/10/25,818.81,834.79,774.54,814.82,792.78,476454100,7785100000,0,,
1993/11/1,1993/11/1,814.82,824.49,793.32,814.39,801.86,265942200,3916600000,0,,
1993/11/8,1993/11/8,814.39,868.91,819.09,865.97,833.26,473714700,7598700000,0,,
1993/11/15,1993/11/15,865.97,924.67,875.8,924.67,875.8,614911700,7390100000,0,,
1993/11/22,1993/11/22,924.67,1011.76,898.49,965.39,924.67,1017097900,14217200000,0,,
1993/11/29,1993/11/29,965.39,993.74,956.34,980.67,968.44,548347100,8251300000,0,,
1993/12/6,1993/12/6,980.67,1044.85,957.65,978.57,986.12,867443800,13975100000,0,,
1993/12/13,1993/12/13,978.57,982.38,884.47,901.7,982.38,465452000,6219700000,0,,
1993/12/20,1993/12/20,901.7,852.63,750.46,834.39,823.77,520779000,7824700000,0,,
1993/12/27,1993/12/27,834.39,854.65,816.36,833.8,841.49,469212000,5748000000,0,,
1994/1/3,1994/1/3,833.8,883.99,823.1,879.64,837.7,581567100,6438200000,0,,
1994/1/10,1994/1/10,879.64,907.09,842.62,849.23,891.99,803246400,8137700000,0,,
1994/1/17,1994/1/17,849.23,868.88,777.83,812.88,861.34,411946200,4582100000,0,,
1994/1/24,1994/1/24,812.88,842.04,795.07,799.26,830.16,429252000,3758600000,0,,
1994/1/31,1994/1/31,799.26,797.88,750.61,797.86,781.54,427411400,3933400000,0,,
1994/2/14,1994/2/14,797.86,818.57,761.64,769.18,813.95,309810500,2906500000,0,,
1994/2/21,1994/2/21,769.18,787.67,749.63,787.42,769.94,531044000,5693200000,0,,
1994/2/28,1994/2/28,787.42,795.2,724.33,726.3,785.82,750191800,8699300000,0,,
1994/3/7,1994/3/7,726.3,741.44,694.03,717.38,718.35,1072266400,13687400000,0,,
1994/3/14,1994/3/14,717.38,807.52,751.2,765.22,774.77,1833132000,20068900000,0,,
1994/3/21,1994/3/21,765.22,757.55,714.59,719.05,755.86,995132900,11214200000,0,,
1994/3/28,1994/3/28,719.05,714.1,691.86,698.84,702.42,1028729600,9460600000,0,,
1994/4/4,1994/4/4,698.84,700.21,674.72,678.85,698.19,668927600,6652600000,0,,
1994/4/11,1994/4/11,678.85,674.5,592.31,626.79,668.85,630867400,5480500000,0,,
1994/4/18,1994/4/18,626.79,619.53,536.34,566.07,619.51,1026555100,8283100000,0,,
1994/4/25,1994/4/25,566.07,616.09,555.76,592.56,566.63,1192506100,9932000000,0,,
1994/5/3,1994/5/3,592.56,620.94,575.25,585.8,593.94,668676700,5867400000,0,,
1994/5/9,1994/5/9,585.8,606.73,575.28,590.39,587.94,632748200,6837600000,0,,
1994/5/16,1994/5/16,590.39,597.72,576.85,594.22,597.12,540604500,5360600000,0,,
1994/5/23,1994/5/23,594.22,597.15,566.37,573.36,594.52,379632200,3822900000,0,,
1994/5/30,1994/5/30,573.36,565.87,537.78,548.75,565.63,349823600,2942500000,0,,
1994/6/6,1994/6/6,548.75,549.66,512.03,514.54,549.03,344821200,2561700000,0,,
1994/6/13,1994/6/13,514.54,528.45,487.26,527.85,505.54,404224100,2712200000,0,,
1994/6/20,1994/6/20,527.85,531.11,490.68,492.33,523.37,362844300,2557100000,0,,
1994/6/27,1994/6/27,492.33,483.9,457.51,458.37,483.45,212407000,1359000000,0,,
1994/7/4,1994/7/4,458.37,446.86,423.03,437.75,446.23,237616800,1354700000,0,,
1994/7/11,1994/7/11,437.75,440.59,413,413.93,436.54,258766700,1685700000,0,,
1994/7/18,1994/7/18,413.93,406.64,362.29,363.73,405.61,217372800,1156600000,0,,
1994/7/25,1994/7/25,363.73,392.17,325.89,333.92,357.4,615904300,3130400000,0,,
1994/8/1,1994/8/1,333.92,683.04,377.97,683.04,394.87,5354294000,33941100000,0,,
1994/8/8,1994/8/8,683.04,768.08,597.26,689.66,720.48,5939033600,45197900000,0,,
1994/8/15,1994/8/15,689.66,772.32,654.22,713.85,671.1,3558837500,29720300000,0,,
1994/8/22,1994/8/22,713.85,728.76,668.72,707.41,680.07,2045911400,18673800000,0,,
1994/8/29,1994/8/29,707.41,830.2,706.52,830.18,716.87,3541730400,35418800000,0,,
